user,joy_ave,joy_max,anger_ave,anger_max,sad_ave,sad_max,fear_ave,fear_max,score,words
18thOfJuly,0.2916 ,0.7169 ,0.1252 ,0.4647 ,0.3032 ,0.9186 ,0.1320 ,0.3128 ,-0.1834 ,7.73 
aclxire,0.2338 ,0.6783 ,0.1643 ,0.5869 ,0.3043 ,0.6896 ,0.2141 ,0.6677 ,-0.3436 ,12.07 
adelainexx,0.0384 ,0.0488 ,0.1898 ,0.3626 ,0.5658 ,0.7682 ,0.1605 ,0.1997 ,-0.7564 ,11.75 
AhmedGul4PTI,0.4207 ,0.8511 ,0.1146 ,0.2755 ,0.2091 ,0.4518 ,0.0856 ,0.1769 ,-0.0970 ,11.60 
alagadnimissg,0.2311 ,0.6969 ,0.1012 ,0.3677 ,0.3658 ,0.8073 ,0.2324 ,0.6052 ,-0.0869 ,17.17 
alexdaviespbts,0.2180 ,0.9120 ,0.0918 ,0.9310 ,0.3595 ,0.9766 ,0.2070 ,0.9310 ,-0.0736 ,12.81 
aliesaanne,0.2618 ,0.6223 ,0.1024 ,0.3125 ,0.3274 ,0.5171 ,0.1442 ,0.4684 ,-0.0993 ,16.67 
AlyssaKhay,0.4898 ,0.9430 ,0.0427 ,0.0869 ,0.2688 ,0.7609 ,0.1221 ,0.3891 ,-0.0261 ,9.20 
amiveronicah,0.3814 ,0.8925 ,0.0802 ,0.3011 ,0.2217 ,0.5556 ,0.1706 ,0.9210 ,-0.1078 ,11.67 
annakarreneu,0.2151 ,0.3737 ,0.2230 ,0.4709 ,0.2587 ,0.5829 ,0.1289 ,0.3488 ,-0.2631 ,12.13 
artistimoii,0.3510 ,0.9226 ,0.1475 ,0.7000 ,0.3375 ,0.8387 ,0.0976 ,0.3785 ,-0.0712 ,24.23 
ashagpasa,0.1995 ,0.1995 ,0.1629 ,0.1629 ,0.4150 ,0.4150 ,0.1808 ,0.1808 ,-0.5517 ,9.00 
Attorney_Pork,0.2232 ,0.5499 ,0.1646 ,0.4898 ,0.2701 ,0.5834 ,0.1438 ,0.2892 ,-0.1349 ,15.00 
avriegerman,0.3761 ,0.7825 ,0.1020 ,0.2873 ,0.4259 ,0.7818 ,0.0941 ,0.2645 ,-0.0088 ,9.63 
awwwnuugh,0.1806 ,0.4965 ,0.1412 ,0.3581 ,0.3000 ,0.6221 ,0.0896 ,0.1577 ,-0.8072 ,23.33 
bansqrd,0.2827 ,0.5610 ,0.0496 ,0.0839 ,0.4652 ,0.7206 ,0.1929 ,0.3650 ,-0.5236 ,6.25 
beacheeks,0.2291 ,0.7364 ,0.1812 ,0.6898 ,0.3322 ,0.8184 ,0.1511 ,0.6157 ,-0.1671 ,17.55 
carmellegacasan,0.3121 ,0.8183 ,0.0817 ,0.2524 ,0.3633 ,0.8518 ,0.1478 ,0.3727 ,-0.2765 ,9.42 
Chaos2Cured,0.2686 ,0.8239 ,0.1261 ,0.9310 ,0.3381 ,0.9167 ,0.1632 ,0.9310 ,-0.1520 ,18.11 
crldvdx,0.2738 ,0.6025 ,0.1559 ,0.4076 ,0.3946 ,0.2951 ,0.1856 ,0.7616 ,-0.7689 ,36.20 
danedelionz,0.14989 ,0.5864 ,0.14745 ,0.7944 ,0.20492 ,0.4876 ,0.09085 ,0.2048 ,-0.1319 ,6.25 
DaNeilPaduria,0.1603 ,0.4633 ,0.1201 ,0.2325 ,0.3190 ,0.8268 ,0.1418 ,0.3105 ,-0.4271 ,11.86 
delatorrefaye,0.1787 ,0.6339 ,0.1103 ,0.2151 ,0.6353 ,0.9329 ,0.1414 ,0.3962 ,-0.4934 ,17.00 
denarcayos,0.1570 ,0.4638 ,0.2039 ,0.5454 ,0.3955 ,0.7512 ,0.1493 ,0.2428 ,-0.5495 ,13.40 
denise_kristie,0.2746 ,0.9415 ,0.2028 ,0.7371 ,0.3517 ,1.0000 ,0.1154 ,0.9229 ,-0.1816 ,13.17 
ElloiseJhann18,0.2747 ,0.7908 ,0.1522 ,0.9310 ,0.3443 ,0.9167 ,0.1691 ,1.0000 ,-0.1751 ,16.65 
etsipnami,0.0080 ,0.0080 ,0.0905 ,0.0905 ,0.7001 ,0.7001 ,0.3447 ,0.3447 ,-0.8710 ,19.00 
followcelrose,0.1937 ,0.4313 ,0.2893 ,0.6838 ,0.2737 ,0.4839 ,0.1887 ,0.3501 ,-0.3240 ,10.25 
GhiGhiHadid,0.1837 ,0.5307 ,0.2789 ,0.7127 ,0.3500 ,0.6414 ,0.2312 ,0.4493 ,-0.2420 ,5.00 
GiRaReDi,0.1497 ,0.4443 ,0.2460 ,0.7963 ,0.4167 ,0.7922 ,0.2079 ,0.5277 ,-0.5290 ,12.00 
haniiika,0.2270 ,0.6797 ,0.2082 ,0.4608 ,0.4896 ,0.7650 ,0.1245 ,0.2892 ,-0.2009 ,26.27 
heyjacesnow,0.2153 ,0.7365 ,0.1222 ,0.2381 ,0.2430 ,0.5766 ,0.1452 ,0.2531 ,-0.3077 ,9.00 
huhuhunnuhr,0.1698 ,0.5713 ,0.2065 ,0.8789 ,0.3029 ,0.9167 ,0.1044 ,0.4163 ,-0.3791 ,12.70 
icbsalvador,0.0993 ,0.1742 ,0.1243 ,0.1618 ,0.1877 ,0.2239 ,0.4126 ,0.7316 ,-0.4359 ,6.00 
